#{"t_start": 1734874795.2420647, "env_id": "None"}
r,l,t
36.636673,1000,232.08441
9.290997,1000,238.906828
41.152195,1000,238.906908
60.41792,1000,238.906936
-27.432903,1000,238.906971
6.6210036,1000,238.906996
16.89419,1000,238.907021
0.0,1000,238.907046
1.1388454,1000,238.90707
4.2042613,1000,238.907097
21.435877,1000,238.907122
1.9000785,1000,250.838282
12.42972,1000,250.838353
19.81643,1000,250.838369
21.038378,1000,250.838381
10.374408,1000,250.838391
29.937666,1000,250.8384
16.280216,1000,250.838411
22.403387,1000,250.838421
27.559792,1000,250.838431
9.857256,1000,250.83844
32.984062,1000,258.26379
33.652306,1000,258.263847
30.32029,1000,258.263863
26.409582,1000,258.263874
34.826466,1000,258.263885
36.187187,1000,258.263897
35.746124,1000,258.263906
33.102306,1000,258.263916
32.86541,1000,258.263925
49.964787,1000,258.263935
35.894566,1000,270.361347
17.987814,1000,270.361464
27.964218,1000,270.361494
34.930042,1000,270.361509
-12.188952,1000,270.361523
29.921814,1000,270.361553
21.846678,1000,270.361573
31.618378,1000,270.361593
29.57486,1000,270.361613
29.641413,1000,270.361629
15.320379,1000,277.628452
26.97704,1000,277.628513
32.48066,1000,277.628529
41.211147,1000,277.62854
26.470371,1000,277.62855
37.541004,1000,277.62856
32.57304,1000,277.628569
39.953865,1000,277.628578
43.468586,1000,277.628588
28.350405,1000,277.628598
33.008366,1000,289.71259
23.086224,1000,289.712671
97.83622,1000,289.712691
30.395111,1000,289.712703
25.10369,1000,289.712713
33.632774,1000,289.712723
36.910225,1000,289.712733
22.165894,1000,289.712742
45.596653,1000,289.712752
23.097868,1000,289.712761
43.633087,1000,297.540077
32.734516,1000,297.540141
32.363575,1000,297.540159
31.929842,1000,297.540173
41.253418,1000,297.540185
25.016676,1000,297.540196
27.248568,1000,297.540208
40.035004,1000,297.54022
68.83552,1000,297.540233
34.595314,1000,297.540244
24.798244,1000,309.600683
22.274197,1000,309.600765
70.707924,1000,309.600791
31.946877,1000,309.600809
22.20387,1000,309.600826
19.769117,1000,309.600848
33.424454,1000,309.600882
32.20809,1000,309.600898
66.30721,1000,309.600914
25.581097,1000,309.60093
10.44142,1000,317.032323
35.15798,1000,317.032395
23.962557,1000,317.032413
24.621908,1000,317.032427
35.817066,1000,317.032439
32.254486,1000,317.032452
27.119545,1000,317.032464
-20.001589,1000,317.032476
20.598042,1000,317.032488
60.258926,1000,317.0325
33.51548,1000,329.116498
25.910885,1000,329.116596
29.794792,1000,329.116626
33.385303,1000,329.116647
43.63628,1000,329.116666
22.81188,1000,329.116684
26.33969,1000,329.116701
31.982208,1000,329.116719
28.333792,1000,329.116742
29.486889,1000,329.116763
17.512484,1000,336.760428
36.39424,1000,336.760514
33.00613,1000,336.760861
27.021496,1000,336.761025
29.026478,1000,336.761047
21.868582,1000,336.761064
31.86211,1000,336.761081
33.13624,1000,336.761098
42.01974,1000,336.761115
28.55387,1000,336.761132
36.910366,1000,349.090682
26.777428,1000,349.090758
22.8205,1000,349.09078
40.87246,1000,349.090794
20.602783,1000,349.090807
29.225576,1000,349.09082
28.651546,1000,349.090832
27.122469,1000,349.090845
17.842865,1000,349.090857
41.07382,1000,349.090869
25.242647,1000,356.432304
-16.69518,1000,356.432365
19.857313,1000,356.432382
23.750013,1000,356.432393
48.643414,1000,356.432403
26.536755,1000,356.432413
27.01994,1000,356.432423
32.958233,1000,356.432433
44.686592,1000,356.432442
26.828842,1000,356.432451
24.59255,1000,369.097687
38.595882,1000,369.09779
38.104694,1000,369.097809
21.883492,1000,369.097823
30.789215,1000,369.097836
39.979565,1000,369.097848
28.352606,1000,369.09786
49.5316,1000,369.097872
45.131775,1000,369.097885
29.722927,1000,369.097898
27.976784,1000,376.675282
29.575384,1000,376.67534
31.981789,1000,376.675356
33.019913,1000,376.675367
55.853012,1000,376.675377
33.62381,1000,376.675392
24.875551,1000,376.675402
35.066833,1000,376.675411
25.358383,1000,376.675421
33.324345,1000,376.67543
37.022842,1000,388.667478
44.2119,1000,388.667545
27.63796,1000,388.667561
24.191685,1000,388.667572
27.11626,1000,388.667582
31.475616,1000,388.667592
25.728607,1000,388.667602
59.55851,1000,388.667611
23.263538,1000,388.667621
37.18942,1000,388.66763
48.24333,1000,396.356881
68.64651,1000,396.356957
29.898687,1000,396.356976
29.829853,1000,396.35699
28.366905,1000,396.357003
37.168907,1000,396.357016
-2.993596,1000,396.357028
27.57499,1000,396.357039
28.731789,1000,396.357052
31.838505,1000,396.357064
27.462936,1000,404.055337
48.391216,1000,404.055442
20.823097,1000,404.055471
21.370714,1000,404.05549
35.094524,1000,404.055508
-18.852688,1000,404.055528
38.789284,1000,404.055546
44.037247,1000,404.055565
29.888844,1000,404.05558
44.60777,1000,404.055596
34.43055,1000,416.486365
32.136604,1000,416.486427
27.240196,1000,416.486444
38.788418,1000,416.486456
35.03721,1000,416.486466
41.03164,1000,416.486476
34.31684,1000,416.486487
32.319942,1000,416.486497
27.478523,1000,416.486507
72.95089,1000,416.486516
43.08449,1000,424.035733
33.139954,1000,424.035811
29.513302,1000,424.035834
25.796476,1000,424.035851
41.12517,1000,424.035867
22.520798,1000,424.035883
39.060493,1000,424.035898
40.59894,1000,424.035923
29.19417,1000,424.035939
31.882734,1000,424.035953
39.06763,1000,436.464106
20.455719,1000,436.464167
36.17503,1000,436.464184
52.334095,1000,436.464195
32.371216,1000,436.464209
42.952744,1000,436.464219
20.905235,1000,436.464228
23.242018,1000,436.464238
21.425316,1000,436.464247
24.685787,1000,436.464257
43.30644,1000,443.901263
39.684753,1000,443.901344
32.863148,1000,443.90137
28.61537,1000,443.901387
26.644693,1000,443.901411
29.781685,1000,443.901428
31.945995,1000,443.901451
28.816607,1000,443.901466
24.187977,1000,443.901488
23.257294,1000,443.901505
28.08008,1000,455.861898
38.36805,1000,455.861974
37.316513,1000,455.861991
40.24208,1000,455.862003
26.762304,1000,455.862013
28.59322,1000,455.862023
44.377254,1000,455.862033
34.04302,1000,455.862042
27.830278,1000,455.862051
56.877403,1000,455.862061
39.239582,1000,463.227257
28.380653,1000,463.227325
-16.104414,1000,463.227342
41.456257,1000,463.227353
39.198963,1000,463.227363
34.05178,1000,463.227373
29.200201,1000,463.227383
49.79102,1000,463.227393
22.854473,1000,463.227402
17.548594,1000,463.227412
26.790775,1000,475.600039
42.416504,1000,475.600099
52.772087,1000,475.600115
30.774544,1000,475.600126
22.024473,1000,475.600149
33.839367,1000,475.600159
30.823383,1000,475.600168
41.897877,1000,475.600176
24.64504,1000,475.600184
22.0306,1000,475.600192
33.248028,1000,482.990697
18.531876,1000,482.990757
36.485626,1000,482.990774
33.77404,1000,482.990786
24.499891,1000,482.990797
36.389977,1000,482.990806
13.384321,1000,482.990816
29.60224,1000,482.990825
-13.569256,1000,482.990834
35.031197,1000,482.990844
31.097225,1000,495.052277
95.50191,1000,495.052382
37.659595,1000,495.052407
21.92866,1000,495.052425
58.01412,1000,495.052442
16.206274,1000,495.052459
22.885872,1000,495.052475
21.611666,1000,495.05249
17.132795,1000,495.052505
41.976856,1000,495.05252
24.353193,1000,502.873811
25.334538,1000,502.873868
29.60469,1000,502.873884
75.24004,1000,502.873895
19.208714,1000,502.873904
27.65539,1000,502.873915
20.319473,1000,502.873925
40.702507,1000,502.873934
17.10441,1000,502.873944
50.092854,1000,502.873953
30.436848,1000,514.67521
16.329319,1000,514.675282
45.706432,1000,514.675297
31.69125,1000,514.675309
27.689981,1000,514.675319
45.41073,1000,514.675328
39.956577,1000,514.675338
28.76714,1000,514.675348
50.1866,1000,514.675357
28.480793,1000,514.675367
35.42538,1000,522.15092
22.129211,1000,522.15102
26.189201,1000,522.151043
23.316,1000,522.151058
17.639456,1000,522.151093
38.56504,1000,522.151106
34.35776,1000,522.151119
34.712566,1000,522.151131
19.813635,1000,522.151147
122.58095,1000,522.15116
33.275158,1000,534.601429
38.30562,1000,534.601493
-15.347794,1000,534.601511
23.062115,1000,534.601524
29.473215,1000,534.601536
24.158075,1000,534.601568
35.374725,1000,534.601579
80.81682,1000,534.601592
26.340479,1000,534.601604
25.765575,1000,534.601632
16.251743,1000,542.174915
32.845474,1000,542.174969
25.988531,1000,542.174984
25.23571,1000,542.174996
27.620663,1000,542.175006
1.7447708,1000,542.175016
70.538185,1000,542.175025
18.842356,1000,542.175035
31.58332,1000,542.175044
23.824522,1000,542.175054
18.673843,1000,553.971824
7.683917,1000,553.971895
25.958052,1000,553.97191
18.557608,1000,553.971921
49.667606,1000,553.971931
33.68425,1000,553.97194
56.84906,1000,553.97195
44.972202,1000,553.971965
40.29781,1000,553.971974
27.212797,1000,553.971984
30.498579,1000,561.254344
44.901352,1000,561.254424
30.585674,1000,561.254453
29.382189,1000,561.254477
71.86168,1000,561.254499
32.733685,1000,561.254517
-21.839325,1000,561.254533
24.186974,1000,561.254553
44.240513,1000,561.25457
24.272049,1000,561.254586
45.09414,1000,573.336586
23.40573,1000,573.33665
21.880993,1000,573.336671
40.538265,1000,573.336683
50.387974,1000,573.336694
28.570879,1000,573.336704
61.248524,1000,573.336714
25.67407,1000,573.336723
22.946592,1000,573.336733
22.996826,1000,573.336742
32.78581,1000,580.710131
60.210888,1000,580.710185
28.098335,1000,580.710201
24.952524,1000,580.710212
8.774416,1000,580.710222
25.311026,1000,580.710232
46.84895,1000,580.710242
27.234987,1000,580.710251
27.333933,1000,580.710261
20.718107,1000,580.710271
43.768593,1000,592.568419
21.356998,1000,592.568487
24.396383,1000,592.568508
15.535962,1000,592.568521
42.96703,1000,592.568534
41.17161,1000,592.568546
22.266342,1000,592.568558
22.80636,1000,592.56857
32.684574,1000,592.568582
37.86559,1000,592.568594
75.340126,1000,600.51303
47.310852,1000,600.513143
41.362915,1000,600.513187
23.509464,1000,600.513209
25.931591,1000,600.513229
35.02687,1000,600.513248
32.573944,1000,600.513269
30.48026,1000,600.513293
47.46687,1000,600.513309
24.815142,1000,600.513331
29.62101,1000,612.307177
27.97419,1000,612.307241
40.62614,1000,612.307259
72.16928,1000,612.307272
72.27359,1000,612.307284
29.337414,1000,612.307296
26.393515,1000,612.307308
